match_id,battle_id,order,camp,type,hero
2026011701,48251408_65_1768632228,7,1,pick,艾琳
2026011701,48251408_65_1768632228,8,1,pick,曹操
2026011701,48251408_65_1768632228,9,2,pick,关羽
2026011701,48251408_65_1768632228,10,2,ban,海月
2026011701,48251408_65_1768632228,11,1,ban,镜
2026011701,48251408_65_1768632228,12,2,ban,元流之子(坦克)
2026011701,48251408_65_1768632228,13,1,ban,大司命
2026011701,48251408_65_1768632228,14,2,ban,不知火舞
2026011701,48251408_65_1768632228,15,1,ban,女娲
2026011701,48251408_65_1768632228,16,2,pick,西施
2026011701,48251408_65_1768632228,17,1,pick,杨玉环
2026011701,48251408_65_1768632228,18,1,pick,夏侯惇
2026011701,48251408_65_1768632228,19,2,pick,暃
2026012403,48251408_48_1769258549,0,1,ban,元流之子(辅助)
2026012403,48251408_48_1769258549,1,2,ban,盾山
2026012403,48251408_48_1769258549,2,1,ban,张飞
2026012403,48251408_48_1769258549,3,2,ban,沈梦溪
2026012403,48251408_48_1769258549,4,1,pick,鲁班大师
2026012403,48251408_48_1769258549,5,2,pick,海月
2026012403,48251408_48_1769258549,6,2,pick,裴擒虎
2026012403,48251408_48_1769258549,7,1,pick,狂铁
2026012403,48251408_48_1769258549,8,1,pick,敖隐
2026012403,48251408_48_1769258549,9,2,pick,庄周
2026012403,48251408_48_1769258549,10,2,ban,橘右京
2026012403,48251408_48_1769258549,11,1,ban,公孙离
2026012403,48251408_48_1769258549,12,2,ban,女娲
2026012403,48251408_48_1769258549,13,1,ban,马超
2026012403,48251408_48_1769258549,14,2,ban,杨戬
2026012403,48251408_48_1769258549,15,1,ban,关羽
2026012403,48251408_48_1769258549,16,2,pick,曹操
2026012403,48251408_48_1769258549,17,1,pick,大司命
2026012403,48251408_48_1769258549,18,1,pick,小乔
2026012403,48251408_48_1769258549,19,2,pick,鲁班七号
2026012301,836780560_4_1769150331,0,1,ban,空空儿
2026012301,836780560_4_1769150331,1,2,ban,盾山
2026012301,836780560_4_1769150331,2,1,ban,元流之子(辅助)
2026012301,836780560_4_1769150331,3,2,ban,元流之子(坦克)
2026012301,836780560_4_1769150331,4,1,pick,鲁班大师
2026012301,836780560_4_1769150331,5,2,pick,镜
2026012301,836780560_4_1769150331,6,2,pick,狄仁杰
2026012301,836780560_4_1769150331,7,1,pick,不知火舞
2026012301,836780560_4_1769150331,8,1,pick,阿古朵
2026012301,836780560_4_1769150331,9,2,pick,张飞
2026012301,836780560_4_1769150331,10,2,ban,艾琳
