match_id,battle_id,team,player,hero,kill,death,assist,kda,gold,win
2026012403,48251408_48_1769258549,无锡TCG,光明,曹操,1,3,0,0.3,10317,0
2026012403,48251408_48_1769258549,无锡TCG,安凉,裴擒虎,0,1,1,1.0,11455,0
2026012403,48251408_48_1769258549,北京WB,听悦,小乔,1,1,6,7.0,10418,1
2026012403,48251408_48_1769258549,无锡TCG,北觅,鲁班七号,0,3,1,0.3,11551,0
2026012403,48251408_48_1769258549,北京WB,玖欣,鲁班大师,0,0,11,11.0,8573,1
2026012403,48251408_48_1769258549,北京WB,小麦,敖隐,6,0,4,10.0,13685,1
2026012403,48251408_48_1769258549,无锡TCG,清弦,海月,0,2,0,0.0,7749,0
2026012403,48251408_48_1769258549,北京WB,梓墨,狂铁,1,0,5,6.0,11549,1
2026012403,48251408_48_1769258549,北京WB,暖阳,大司命,3,0,5,8.0,12756,1
2026012403,48251408_48_1769258549,无锡TCG,数字,庄周,0,2,1,0.5,7754,0
2026012301,836780560_4_1769150331,西安WE,明崽,不知火舞,3,1,6,9.0,8798,1
2026012301,836780560_4_1769150331,杭州LGD.NBW,米苏,镜,0,2,1,0.5,9614,0
2026012301,836780560_4_1769150331,杭州LGD.NBW,小久,狄仁杰,2,2,0,1.0,8914,0
2026012301,836780560_4_1769150331,西安WE,文涛,蒙恬,1,1,8,9.0,9502,1
2026012301,836780560_4_1769150331,杭州LGD.NBW,小崽,张飞,0,4,2,0.5,6084,0
2026012301,836780560_4_1769150331,西安WE,子意,阿古朵,2,0,9,11.0,11340,1
2026012301,836780560_4_1769150331,西安WE,昭珏,戈娅,6,0,4,10.0,11554,1
2026012301,836780560_4_1769150331,杭州LGD.NBW,小落,影,0,1,0,0.0,9237,0
2026012301,836780560_4_1769150331,西安WE,忆安,鲁班大师,0,0,10,10.0,7550,1
2026012301,836780560_4_1769150331,杭州LGD.NBW,九尾,沈梦溪,0,3,2,0.7,6375,0
2026012501,48251408_53_1769320953,上海RNG.M,雨空,安琪拉,0,3,1,0.3,7197,0
2026012501,48251408_53_1769320953,上海RNG.M,极光,敖隐,0,2,2,1.0,10782,0
2026012501,48251408_53_1769320953,上海RNG.M,久酷,空空儿,1,1,0,1.0,6769,0
2026012501,48251408_53_1769320953,重庆狼队,信,鲁班大师,0,0,13,13.0,8092,1
2026012501,48251408_53_1769320953,重庆狼队,皖皖,哪吒,6,1,5,11.0,13517,1
2026012501,48251408_53_1769320953,重庆狼队,紫幻,王昭君,2,1,8,10.0,9079,1
2026012501,48251408_53_1769320953,上海RNG.M,樱花,白起,0,3,3,1.0,8486,0
2026012501,48251408_53_1769320953,重庆狼队,清清,狂铁,2,0,11,13.0,11449,1
2026012501,48251408_53_1769320953,重庆狼队,道崽,艾琳,3,1,4,7.0,12278,1
2026012501,48251408_53_1769320953,上海RNG.M,赤辰,镜,2,4,1,0.8,11520,0
2026011803,1222656528_14_1768742623,长沙TES.A,帆帆,元流之子(辅助),2,3,1,1.0,10264,0
2026011803,1222656528_14_1768742623,长沙TES.A,蓝桉,敖隐,0,1,2,2.0,15255,0
2026011803,1222656528_14_1768742623,长沙TES.A,无幻,曹操,2,3,1,1.0,14427,0
2026011803,1222656528_14_1768742623,北京WB,听悦,女娲,3,0,6,9.0,13012,1
2026011803,1222656528_14_1768742623,长沙TES.A,安七,铠,0,2,1,0.5,11316,0
2026011803,1222656528_14_1768742623,北京WB,玖欣,鲁班大师,0,2,9,4.5,10793,1
2026011803,1222656528_14_1768742623,北京WB,小麦,李元芳,4,2,5,4.5,16455,1
2026011803,1222656528_14_1768742623,北京WB,梓墨,马超,0,0,6,6.0,16657,1
