league_id,hero_name,battle_count,win_rate,avg_kda,ban_rate,pick_rate
20250003,少司缘,50,0.42,4.072,0.1224,0.211
20250003,影,29,0.3793,3.3483,0.0802,0.1224
20250003,金蝉,1,0.0,1.5,0.0253,0.0042
20250003,哪吒,3,0.3333,5.0,0.0127,0.0127
20250003,鲁班大师,51,0.451,3.9549,0.7468,0.2068
20250003,关羽,41,0.5122,4.061,0.3376,0.173
20250003,王昭君,22,0.5909,4.9136,0.038,0.0928
20250003,暃,8,0.75,4.5625,0.038,0.0338
20250003,貂蝉,1,1.0,3.0,0.0,0.0042
20250003,西施,24,0.4583,4.4708,0.1983,0.1013
20250003,弈星,3,0.3333,5.5667,0.0,0.0127
20250003,张良,18,0.2778,3.9833,0.1435,0.0759
20250003,桑启,3,0.6667,4.1667,0.0042,0.0127
20250003,后羿,6,0.5,4.9667,0.0717,0.0253
20250003,庄周,5,0.8,4.2,0.0169,0.0211
20250003,狄仁杰,33,0.3939,4.3182,0.0844,0.1392
20250003,刘邦,1,0.0,7.0,0.0,0.0042
20250003,蔡文姬,3,0.6667,6.0,0.0042,0.0127
20250003,曜,2,0.5,5.75,0.0,0.0084
20250003,海诺,24,0.4583,3.075,0.1435,0.1013
20250003,曹操,77,0.5584,4.6325,0.3544,0.3122
20250003,苍,71,0.4648,4.0676,0.0886,0.2996
20250003,干将莫邪,14,0.2143,2.8929,0.038,0.0591
20250003,杨戬,62,0.5161,3.3581,0.1983,0.2616
20250003,姜子牙,6,0.5,2.5667,0.0,0.0253
20250003,嬴政,22,0.4545,5.1818,0.0549,0.0928
20250003,姬小满,20,0.6,4.585,0.0084,0.0844
20250003,百里守约,13,0.3846,3.8846,0.0253,0.0549
20250003,阿古朵,35,0.3714,3.4457,0.135,0.1477
20250003,猪八戒,10,0.6,4.16,0.0253,0.0422
20250003,大乔,8,0.5,5.5625,0.0169,0.0338
20250003,东皇太一,2,0.5,2.8,0.0127,0.0084
20250003,戈娅,72,0.5278,5.3,0.1688,0.3038
20250003,不知火舞,45,0.4667,3.0733,0.2954,0.1899
20250003,达摩,8,0.375,3.6,0.0127,0.0338
20250003,虞姬,7,0.5714,3.3143,0.0169,0.0295
20250003,梦奇,12,0.3333,2.4417,0.0042,0.0506
20250003,鬼谷子,3,0.6667,5.6667,0.0042,0.0127
20250003,元流之子(坦克),61,0.5246,3.1344,0.2996,0.2447
20250003,蒙恬,37,0.5946,3.8081,0.1772,0.1561
20250003,老夫子,9,0.7778,5.4667,0.0844,0.038
20250003,墨子,8,0.25,3.225,0.0591,0.0338
